Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation,3,0,53,51.74941433333339,48.81217800000037,53.221452000000056,14451.0,0.1763271612416316,0.0,53,53,53,53,53,53,53,53,53,53,53
POST,/questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation,3,0,170.0,168.03120066666642,156.95433299999985,177.16810800000005,303.0,0.1763271612416316,0.0,170,170,180,180,180,180,180,180,180,180,180
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380,4,0,52,51.30631574999997,48.69794799999993,52.857652000000144,18667.0,0.2351028816555088,0.0,52,52,53,53,53,53,53,53,53,53,53
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380,3,0,76,72.99836633333327,66.68198200000042,76.62570899999999,395.0,0.1763271612416316,0.0,76,76,77,77,77,77,77,77,77,77,77
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381,3,0,51,53.22209766666678,49.59493999999998,58.685010999999676,18549.0,0.1763271612416316,0.0,51,51,59,59,59,59,59,59,59,59,59
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381,3,0,71,70.44778666666663,67.44695200000007,72.90615199999984,397.0,0.1763271612416316,0.0,71,71,73,73,73,73,73,73,73,73,73
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block383,3,0,52,52.28026466666662,50.316564000000064,54.604557999999415,15657.0,0.1763271612416316,0.0,52,52,55,55,55,55,55,55,55,55,55
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block383,3,0,73,74.64006233333313,71.967224,79.05383900000018,377.0,0.1763271612416316,0.0,73,73,79,79,79,79,79,79,79,79,79
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4616,3,0,50.819043999998925,50.19269033333281,49.043849999999445,50.819043999998925,16079.0,0.1763271612416316,0.0,51,51,51,51,51,51,51,51,51,51,51
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4616,3,0,69,73.30359499999976,68.69403000000007,82.28991699999978,397.0,0.1763271612416316,0.0,69,69,82,82,82,82,82,82,82,82,82
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,3,0,53,56.796703000000285,52.02226300000001,64.96169600000013,16544.0,0.1763271612416316,0.0,53,53,65,65,65,65,65,65,65,65,65
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,3,0,71,75.86415099999977,69.7981190000001,86.59188800000007,397.0,0.1763271612416316,0.0,71,71,87,87,87,87,87,87,87,87,87
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,3,0,52,58.68779633333344,51.13178500000082,73.14322999999945,19547.0,0.1763271612416316,0.0,52,52,73,73,73,73,73,73,73,73,73
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,3,0,74,74.27035733333275,68.2483869999988,80.80023099999956,395.0,0.1763271612416316,0.0,74,74,81,81,81,81,81,81,81,81,81
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,4,0,53,54.99952324999938,50.948226999999235,59.2163569999995,16143.0,0.2351028816555088,0.0,57,57,59,59,59,59,59,59,59,59,59
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,4,0,70,70.48510750000045,69.25289499999998,71.22611400000167,395.0,0.2351028816555088,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,4,0,50,59.37448325000036,47.07707900000102,88.94248599999999,19775.0,0.2351028816555088,0.0,52,52,89,89,89,89,89,89,89,89,89
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,4,0,71,71.8791254999995,69.84450499999895,73.98841,393.0,0.2351028816555088,0.0,73,73,74,74,74,74,74,74,74,74,74
GET,/questionnaire/benchmark/test_business/download-pdf,3,0,3400.0,4052.083511666667,3191.084034000001,5598.502629,41030.333333333336,0.1763271612416316,0.0,3400,3400,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/questionnaire/benchmark/test_business/thank-you,3,0,46,48.059823333333505,42.04136800000002,56.021120999999674,10723.0,0.1763271612416316,0.0,46,46,56,56,56,56,56,56,56,56,56
GET,/questionnaire/benchmark/test_business/view-submission,3,0,57,60.99274333333312,56.25994999999939,69.85996299999985,15027.0,0.1763271612416316,0.0,57,57,70,70,70,70,70,70,70,70,70
GET,/session,4,0,110.0,108.57731749999991,99.43077199999983,115.43726199999999,415.0,0.2351028816555088,0.0,110,110,120,120,120,120,120,120,120,120,120
,Aggregated,72,0,68,235.37984976388873,42.04136800000002,5598.502629,10193.847222222223,4.231851869799159,0.0,69,71,74,79,110,180,3400,5600,5600,5600,5600
