Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,4786,1,300.0,562.675208814248,102.5773890000039,11498.191227999996,396.9174676138738,7.876280154454221,0.0016456916327735524,300,350,380,400,940,1900,5000,6300,9800,11000,11000
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,4779,2,380.0,733.6047189175537,98.51439999999911,40315.865433,19295.002929483155,7.8647603130248065,0.003291383265547105,380,530,620,700,1500,2600,4800,6200,13000,40000,40000
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,4755,2,300.0,583.433130781917,109.01653499999497,33184.718863,394.86246056782335,7.8252637138382415,0.003291383265547105,300,350,380,400,960,2000,5100,6800,11000,33000,33000
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,4905,3,350.0,658.0362433671755,87.77113700000427,23218.964673000017,15889.442201834863,8.072117458754274,0.004937074898320657,350,470,580,640,1500,2400,3900,5100,11000,23000,23000
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,4889,4,300.0,546.1298360218852,101.3073069999848,13318.153501000012,394.7545510329311,8.045786392629898,0.00658276653109421,300,340,370,400,770,1800,4800,6600,11000,13000,13000
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,4935,5,400.0,710.0998293912862,86.95131599998263,12992.241070999995,19534.312056737588,8.121488207737482,0.008228458163867762,400,550,640,750,1600,2500,4000,5200,10000,13000,13000
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,4915,2,300.0,612.0587670004074,103.15729900003134,12848.534239000017,392.8701932858596,8.08857437508201,0.003291383265547105,300,350,380,410,1000,2400,5500,7000,11000,13000,13000
GET,/questionnaire/benchmark/test_business/thank-you,4701,1,290.0,539.883474357795,86.11471300000062,11452.592670000002,10477.796639012977,7.73639636566847,0.0016456916327735524,290,340,390,470,1000,2200,3700,5000,8700,11000,11000
GET,/questionnaire/benchmark/test_business/view-submission,4683,4,330.0,613.9766955692934,93.6594750000097,20790.468808000012,14771.47640401452,7.706773916278546,0.00658276653109421,330,420,520,600,1200,2300,4200,5300,9100,21000,21000
GET,/session,4941,1,340.0,802.3296093895985,138.38639099998318,13713.639297999976,414.7901234567901,8.131362357534123,0.0016456916327735524,340,390,430,490,2000,3700,6500,8600,13000,14000,14000
,Aggregated,101099,45,320.0,639.9745606785812,86.11471300000062,52362.592593000045,8679.145085510243,166.37777838177337,0.07405612347480986,320,390,470,550,1200,2400,4700,6300,12000,23000,52000
